mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC int8,clean,0.9702380952380952,0.6666666666666666,1.0,0.8,0.8034734720282709,168
PC float32,30 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC int8,30 dB,0.9404761904761905,0.5,1.0,0.6666666666666666,0.6843642527044693,168
PC float32,20 dB,0.9047619047619048,0.38461538461538464,1.0,0.5555555555555556,0.5879345127109069,168
PC int8,20 dB,0.8571428571428571,0.29411764705882354,1.0,0.45454545454545453,0.49944123655481965,168
PC float32,10 dB,0.8630952380952381,0.30303030303030304,1.0,0.46511627906976744,0.5088401486645687,168
PC int8,10 dB,0.8333333333333334,0.2631578947368421,1.0,0.4166666666666667,0.4653195874389598,168
PC float32,5 dB,0.8869047619047619,0.3448275862068966,1.0,0.5128205128205128,0.5507821508899672,168
PC int8,5 dB,0.8273809523809523,0.2564102564102564,1.0,0.40816326530612246,0.4575452047731519,168
